,date,message,channel_name
0,2024-10-30T14:19:35,Срочно нужна квартира 2х комн УнивермагДианаШкольник 87085459248,Уральск Квартира  Орал КВАРТИРА Аренда
1,2024-10-29T13:55:07,Нужна квартира на длительный срокПодселение 3 қызға кв керек Мекенжай школьник назарбаев кердері желательно центрдан болса Бөлме саны 1 Срок ұзақ мерзімге Баға 80к120к арасы Условия жақсы интернет тамақ жасайтын плита стиральный машина полноценный шкаф тб Квартираға кіру уақыты ноябр дайын болса ертенде кіріп кетуге дайынбыз 77054142928,Уральск Квартира  Орал КВАРТИРА Аренда
2,2024-10-29T12:16:24,1 комнаталы квартираға 1 қыз іздейміз 0411 бастап кіруге 30к ком услуга Адрес Мухита 134 87775422641,Уральск Квартира  Орал КВАРТИРА Аренда
3,2024-10-29T12:14:10,Қасымызға қыз 1 іздеймііз МекенжайОмега Бөлме саны1 Бағасы адам басына 22 УсловияСтиральный машинаПолноценный шкафтб 87077575441,Уральск Квартира  Орал КВАРТИРА Аренда
4,2024-10-29T12:10:03,Квартираға 1бала керек бірге тұруға кв курмангазы центр жакта желательно студент бала босла либо ышпеитн шекпеитн тнш любой бала кв барлык условия бар 3 ком кв 87760753915,Уральск Квартира  Орал КВАРТИРА Аренда
5,2024-10-28T23:28:37,Келесі айдың 5і нен бастап көшетін кв керек 2 қызбыз желательно орталықтан болса 7 705 512 2808,Уральск Квартира  Орал КВАРТИРА Аренда
6,2024-10-28T02:25:25,Квартира іздеймін 1 бөлмелі Барлық жағдайы жасалған болса 4060 мың шамасында Інім мен қарындасым бар бірге тұрады Адрес Орталықтан болса тұрақты жұмысым бар 87052866474,Уральск Квартира  Орал КВАРТИРА Аренда
7,2024-10-28T01:39:27,Ищу квартиру В районе пединститута либо школьник для подселения можно другие районы рядом с оплатой примерно 2535к в месяц Сама чистоплотная работаю Думаю поселиться в середине либо в конце ноября 77788077747,Уральск Квартира  Орал КВАРТИРА Аренда
8,2024-10-20T21:44:37,Бирге туруга кв керек подселение Центр жактан болса пугачевапединститутгагаринвкироваюбиляр или педколледжге жакн болса болды Цена25к комуслуг Квартира ишнде барлык жағдаиы жасалғанстиральный машина шкафкухонныйдуш тб Таза кыздар болсаишпеитншекпеитнозим тазамынартык кылығым жокстудентпн Осы аидың 28не деин кирп кетсем деимн 87086313057,Уральск Квартира  Орал КВАРТИРА Аренда
9,2024-10-20T11:54:04,Қасыма бірге тұратын 1 немесе 2 қыз керек АдрсЗачаганскжақсы ауыл жер үй тұруға ыңғайлы ішінде бәрі бар қыста жылы болат ОстМолодёжный 2комт 70к комуслог ішінде 87759911625,Уральск Квартира  Орал КВАРТИРА Аренда
10,2024-10-19T19:16:17,Нужна 1 девушка в 2х комнатную квартиру на подселение Район ТЭЦ оплата 35000 ком услуги внутри будем жить в 3оем 87079427973,Уральск Квартира  Орал КВАРТИРА Аренда
11,2024-10-19T11:44:58,Ищу девушек для совместного проживанияв четвером 40000 ком услуги Все условия в квартире есть Квартира в центре города 2 комнаты Мен бірге тұратын қыздарды іздеймін төртеуінде 40000 ком қызметтер Барлық ыңғайлылығы бар қала орталығындағы пәтер 2 комнаты 87053876998,Уральск Квартира  Орал КВАРТИРА Аренда
12,2024-10-15T09:01:50,Бірге тұруға кв керек Центрдан болса Условиясы жақсы болса 87714085175,Уральск Квартира  Орал КВАРТИРА Аренда
13,2024-10-14T16:14:43,8 школ жакта кв бар 30мын тг комуслуга ішінде барлық жағдай жасалған 87051250882,Уральск Квартира  Орал КВАРТИРА Аренда
14,2024-10-14T12:18:40,Подселениеге 2 қыз керек Центр 3 бөлмелі үйге 2 қыз қажет срочно адам басына 25 мың Остоновка Юбилейныйда дәл артында орналасқан қасында бәрі бар үйде барлық жағдай жасалған Жат қылығы жоқ ішпейтін темекі шекпейтін қыздар қажет 87055153935,Уральск Квартира  Орал КВАРТИРА Аренда
15,2024-10-10T20:35:44,Ищу 1 девушку для совместного снятия квартиры Примерно по 50 тысяч тенге Желательно работающая 87079428973,Уральск Квартира  Орал КВАРТИРА Аренда
16,2024-10-09T16:26:11,Срочно ищу квартиру 1 ком центр болса Семеныйбез детей 7080 тыс 87051983024,Уральск Квартира  Орал КВАРТИРА Аренда
17,2024-10-09T12:55:43,Қасыма бірге тұратын қыз керек Жана орда 15 новый дом1 қыз керек 87776717763 87776717764,Уральск Квартира  Орал КВАРТИРА Аренда
18,2024-10-08T21:26:06,Квартирага бирге туратын бир кыз керек Универмаг жакта айына 31мыннан 87056619456,Уральск Квартира  Орал КВАРТИРА Аренда
19,2024-10-06T17:41:48,Қасыма тұруға бір қыз керек Остановка жигули айына 25К 87761943414,Уральск Квартира  Орал КВАРТИРА Аренда
20,2024-10-06T16:30:15,Нужна квартира на длительный срок Пединститутюбилейныйшкольниккирова жақтан 2бөлмелі немесе 1бөлмелі кв керек еді Бағасы 70000100000 арасы комуслуга ішінде болса 87767699348,Уральск Квартира  Орал КВАРТИРА Аренда
21,2024-10-03T19:57:34,Срочно Квартирага туратн 4 кыз керек Адам басына 37500 тг ден келеды 77713910034,Уральск Квартира  Орал КВАРТИРА Аренда
22,2024-10-03T16:46:37,СРОЧНО Квартирага бирге туратын 2 кыз керек адрес район 22 школа кыз басна 37500 тг келеды 87713910034,Уральск Квартира  Орал КВАРТИРА Аренда
23,2024-10-03T13:03:22,Квартирага 1 бала керек Адрес курмангазы жакта бары жакн условия бары бар 87760753915,Уральск Квартира  Орал КВАРТИРА Аренда
24,2024-10-03T09:44:11,Подселениеге 2 қыз керек Центр 3 бөлмелі үйге 2 қыз қажет срочно адам басына 25 мың Остоновка Юбилейныйда дәл артында орналасқан қасында бәрі бар үйде барлық жағдай жасалған 87055153935,Уральск Квартира  Орал КВАРТИРА Аренда
25,2024-10-02T12:38:23,СРОЧНО квартирага 3 кыз издеймыз квартира евро ремонт ишнде барлык жагдай жасалган адрес Жана Орда айына адам басына 50к дан келеды 87789208388,Уральск Квартира  Орал КВАРТИРА Аренда
26,2024-09-30T11:38:28,Квартира издимиз 1 комнат болсада 3 адамға барлық жағдайы бар 7000080000мын аралыгында ком услага ишинде квартирага киру уакыты октябрь казан айынын 15 нен бастап юбейлейныйхлеб завод маметоважактардан желательно пугачевжазирасхи2030школ жактанда болад остоновка жакын болу керек 87058220967,Уральск Квартира  Орал КВАРТИРА Аренда
27,2024-09-28T18:50:00,Қасымызға тұруға 1 қыз қажет Юбелейный жакта бөлме саны 2 ай сайынғы төлем 25мынком УсловияСтиральный машинаПолноценный шкафтб 2 кыз керек Барлық сұрақ бойынша Вацап 87769151163,Уральск Квартира  Орал КВАРТИРА Аренда
28,2024-09-28T15:19:36,КВАРТИРА КЕРЕК студент 4 бала 120к ға дейін одан қымбат керек емес 12 комната Центр жақтан сарайшық саяхат крч шестой 4мкр шақтан қажет емес НАМАЗ ОҚИТЫН БАЛДАРМЫЗ таза ұстаймыз таза жерде оқу парыз намазды Срочно керек реско кіріп кетеміз ұнаса Тел 87770656261,Уральск Квартира  Орал КВАРТИРА Аренда
29,2024-09-28T11:15:56,ПодселениеБірге тұру Қасыма бірге тұруға қыздар керек квартира таппадым Сондықтан үш төрт қыз жиналсақ бірге табайық Артық қылығы жоқ қыздар керек 87761943414,Уральск Квартира  Орал КВАРТИРА Аренда
30,2024-09-27T20:03:31,Қажымұрат Манас Достар комментарийлердегі обявление сақ болыңыздаарМанасҚ деген адам предоплата талап етіпкейін ақшаларыңыздан айрылып қаласыздаар Предоплата салыпхабарсыз кеткен адамдар болса заявление жазайқ барлығымыз барып20003000ТГ БОЛСА Дөзім жаздым ужетағы адамдар көп болса түрмеге де жабар Перепискаперевод болу керек 87073455285осы номерге жазынздаршыы Туған туыстары көріп отырса өзіне ескертерсіздер МАНАСТЫҢ,Уральск Квартира  Орал КВАРТИРА Аренда
31,2024-09-25T18:54:34,Квартира керек 2 адамбыз 2 комнатный болсада касымызға бірге тұруға 2 адам аламыз қыз ұл без разница 87081852605,Уральск Квартира  Орал КВАРТИРА Аренда
32,2024-09-24T00:04:26,Презентация слайд жасаймыз Соңғы модель бойынша Студенттерге 10 скидка 300924 күнге дейін Толығырақ 87472943029 уатсапқа жазсаңыз болады,Уральск Квартира  Орал КВАРТИРА Аренда
33,2024-09-23T22:45:19,Нужна квартира на длительный срокСовместно тұруға қыздар Мекенжай Центрде Бөлме саны 1 Срок ұзақ мерзімге Баға Бірге тұруға 2 қыз керек 50 мың теңгеден каждыйынан 2 комнатты үй 4 қыз болып тұрамызЖұмыс жасайтын қыздар болса Условия жақсы интернет тамақ жасайтын плита стиральный машина вайфай телевизор жаңадан ремонтталған тб Квартираға кіру уақыты бір қыз 031024 екінші қыз 051024 тек вацапқа жазыңыздар 7 775 275 9012,Уральск Квартира  Орал КВАРТИРА Аренда
34,2024-09-23T01:29:05,Квартира керек ұзақ мерзімге 12 ком центр или шестой болсын бәрібір 80140айналасы 87052195156,Уральск Квартира  Орал КВАРТИРА Аренда
35,2024-09-22T20:29:36,Нужна квартира на длительный срокПодселениеКвартира керек Мекенжай зачаганск Бөлме саны 1 Срок ұзақ мерзімге Баға 7000080000аралығында Условия жақсы интернет тамақ жасайтын плита стиральный машина полноценный шкаф тб Квартираға кіру уақытысентябр 2627 7 7712363867,Уральск Квартира  Орал КВАРТИРА Аренда
36,2024-09-21T15:48:21,Квартираға 1 или 2 қыз керек Мөнкеулы 1086 Айға менімен 3 қыз болсак 26к 2 қыз болсак 40 к дан шығады Жаман әдеті жоқ Жас қыздар болса Сұрактар бойынша 87076767250,Уральск Квартира  Орал КВАРТИРА Аренда
37,2024-09-21T15:10:16,Бирге туруга кыз издеймиз Студентпыз Мекен жайы Монкеулы 974 Назель жанында Болме саны 1 Срок Узак мерзимге Условия новый квартира мебель шкаф диван микроволновка автомат стиралка тб бар 27 сентябрь бастап кире беруге болады 33 к 77715475155,Уральск Квартира  Орал КВАРТИРА Аренда
38,2024-09-19T21:15:02,Возьмем на подселение 2 девушки Квартира чистая В центре по адресу Кердеры 131 87021597878,Уральск Квартира  Орал КВАРТИРА Аренда
39,2024-09-19T21:14:24,Нужна квартира на длительный срокСовместно тұруға қыздар Октябрь 5і нен бастап 3 қызға кв керек центрдан қасына қыз алып жатқандар бармаИли 1ком кв болса 7 705 512 2808,Уральск Квартира  Орал КВАРТИРА Аренда
40,2024-09-18T15:32:06,Стрижка каскад модель керек БЕСПЛАТНО 5 қыз үйренугеСтрижка каскад 2500 тенге 7 775 275 9012 вацапқа шықсаңыздар болады,Уральск Квартира  Орал КВАРТИРА Аренда
41,2024-09-16T15:24:35,Квартираға 2қыз керек Район Юбилейный Бөлме саны 2 Срок ұзақ мерзімге Баға 24000 ком усл Условия стиральный машина холодельник полноценный шкаф кондер телевизор Квартираға кіру уақыты 17 сентябрь бастап 7 777 567 81 56,Уральск Квартира  Орал КВАРТИРА Аренда
42,2024-09-12T23:29:48,Самая быстрая продажа Тут можно продать и купить ВСЁ Заявка в телеграм,Уральск Квартира  Орал КВАРТИРА Аренда
43,2024-09-12T23:18:24,Срочно ищу квартиру на длительный срок или совместно бірге тұруға можно женщина с ребенком В районе ШкольникДианаУнивермагЕвразия7ая школаЛТолстой 87085459248,Уральск Квартира  Орал КВАРТИРА Аренда
44,2024-09-11T20:57:06,Кв керек срочно 2 баламыз студент Или қастарына іздеп жатқан балдар болса бірге тұруға 87769266168,Уральск Квартира  Орал КВАРТИРА Аренда
45,2024-09-09T21:50:53,Қасымызға тұруға 1 қыз қажет Юбелейный жакта бөлме саны 2 ай сайынғы төлем 25мынком УсловияСтиральный машинаПолноценный шкафтб Киру уакытыбугин или ертен Барлық сұрақ бойынша Вацап 87769151163,Уральск Квартира  Орал КВАРТИРА Аренда
46,2024-09-09T20:38:06,Универмагта квартира бар совместный тұруға 1 қыз керек Меңдалиева 2 адресы Студент болса жақсы болар еді 1620 жас аралығындағы Ватсап номер 7 705 954 6972,Уральск Квартира  Орал КВАРТИРА Аренда
47,2024-09-09T17:49:41,Нужна квартира на длительный срокСовместно тұруға қыздар Мекенжай Центрде Бөлме саны 1 Срок ұзақ мерзімге Баға 1 комнатаға 2 қыз 100 000 теңге50к с каждого теңге комуслуга ішінде Условия жақсы интернет тамақ жасайтын плита стиральный машина вайфай телевизор жаңадан ремонтталған тб Квартираға кіру уақыты Августь айы тек вацапқа жазыңыздар 7 7086012494,Уральск Квартира  Орал КВАРТИРА Аренда
48,2024-09-08T16:40:39,Совместный тұруға 2 қыз керек 2бөлмелі квартира таза студент қыздар керек бағасы 150к ком услуга кіргенде 42500 толиміз бірге келесі ай 37500ден квартирада бәрі барутюгстиралкамикроволновкателевизоркондершкафпелесос Ватсап номер 77711311096,Уральск Квартира  Орал КВАРТИРА Аренда
49,2024-09-06T23:27:22,Нужна квартира на длительный срокподеселение Мекенжайцентр ситиабубакир кердери 172 школьник назарбаева Бөлме саны23 Срок 1жыл Баға100120 Условиятамақ жасайтын плитагазстиральный машинаполноценный шкаф тб Квартираға кіру уақыты ертең 77474502723,Уральск Квартира  Орал КВАРТИРА Аренда
50,2024-09-06T23:25:44,Совместный тұруға 1 қыз аламын Универмагта квартира бар Меңдалиева 2 адресынде 1 қызбын Қасыма тұруға 1 кыз керек Студент болса жақсы болар еді 1620 жас аралығындағы Ватсап номер 7 747 829 4148,Уральск Квартира  Орал КВАРТИРА Аренда
51,2024-09-06T22:37:24,КВАРТИРАҒА 2БАЛА КЕРЕК ҚАСЫМЫЗҒА ӨЗІМІЗ 4 БАЛАМЫЗ КВАТИРА 180к 4 мкр ҮЙ ТАЗА ЖАҚСЫ 3 КОМ ІШІП ШЕКПЕЙТІН БАЛДАР КЕРЕК Тел 87769042733 только ватсап,Уральск Квартира  Орал КВАРТИРА Аренда
52,2024-09-06T20:19:54,Срочно нужна квартира совместного проживанияс хозяйкойподселение Районзачаганск Пед двд птица налог филармония и тд Без вредных привычекот меня своевременная оплата Напишите в ватсап 87774935154,Уральск Квартира  Орал КВАРТИРА Аренда
53,2024-09-05T00:36:05,Нужна квартира на длительный срокподеселение Мекенжайцентр ситиабубакир кердери 172 школьникорал магазин Бөлме саны2 Срок 1жыл Баға100120 подселениемен болса 2030 Условиятамақ жасайтын плитагазстиральный машинаполноценный шкаф тб Квартираға кіру уақытысентябрь айы болса ортасы болса жақсы болар еді 77054237506,Уральск Квартира  Орал КВАРТИРА Аренда
54,2024-09-05T00:34:57,Квартира керек 1 қызғақыздармен бірге тұруға Мекен жайцентр жақтан керек4мкрсергей тюленинажугулиунивермарг тб Срокұзаққа Баға2025 Квартираға кіру уақытСуботта 87078541336 Срочноо,Уральск Квартира  Орал КВАРТИРА Аренда
55,2024-09-04T22:16:06,Нужна квартира на субаренде Мекенжай мкр 5679 Бөлме саны 12 Срок ұзақ мерзімге Баға 90000120000болса Условия жақсы интернет тамақ жасайтын плита стиральный машина полноценный шкаф тб Квартираға кіру уақыты сентябрь 77082484051,Уральск Квартира  Орал КВАРТИРА Аренда
56,2024-09-04T22:04:06,Квартира керек срочно Мекенжай желательно центр Бөлме саны 12 Срок ұзақ мерзімге Баға 100000150000 Условия жақсы интернет тамақ жасайтын плита стиральный машина кондиционер полноценный шкаф тб Квартираға кіру уақыты срочно 12кунде 7 777 023 7840,Уральск Квартира  Орал КВАРТИРА Аренда
57,2024-09-04T18:38:39,Қасымызға тұруға 2 қыз қажет 4мкрн жақта бөлме саны 2 ай сайынғы төлем 30мын УсловияСтиральный машинаПолноценный шкафтб Барлық сұрақ бойынша 87474364972 ватсап 87055621372 звонок,Уральск Квартира  Орал КВАРТИРА Аренда
58,2024-09-04T01:20:23,Қасымызға қыз керек МекенжайОмега Бөлме саны1 Бағасы адам басына 22 УсловияСтиральный машинаПолноценный шкафтб 87714085175,Уральск Квартира  Орал КВАРТИРА Аренда
59,2024-09-04T01:19:10,Квартираподселение іздейміз Студент 2 ер баламыз 87769266168 вацап номер,Уральск Квартира  Орал КВАРТИРА Аренда
60,2024-09-04T00:54:24,Квартираға бірге тұруға бір қыз керек Мекенжай 4 мкрн Баға 33мн кум Усоовия ыдыс стиральный машина плита полноценный шкаф тамақ жылтатын бәрі бар Сенімен 3 қыз болып тұрамыз Квартиага кіру уактты Бүгін ертен өзіне ыңғайлы уакыт 77072884516,Уральск Квартира  Орал КВАРТИРА Аренда
61,2024-09-02T22:55:55,Квартираға бірге тұруға 1 қыз керек Мекенжай Зачаганск Бөлме саны 3 Срок ұзақ мерзімге Баға 25 000 Условия тамақ жасайтын плита стиральный машина полноценный шкаф тб Квартираға кіру уақыты бүгінертендері 7 775 991 1625,Уральск Квартира  Орал КВАРТИРА Аренда
62,2024-09-02T21:32:27,Нужна квартира комната на длительный срок Желательно в центре Количество комнат 1 Срок длительный Цена50 000 80 000 Условия стиральная машина шкаф кухня Въезд 5 сентября 87751264628 писать в ватсап,Уральск Квартира  Орал КВАРТИРА Аренда
63,2024-09-02T21:25:07,Квартирага подселениеге бала керек 2 бала Квартира школьник жакта аиына 160 к комуслуга 3 комнатная 4 баламз 2 адам керек енды 1 адам басына 26666 ком услуга Условия бары бар кыру уакыты сентябр 11ы студент балдармз 87760753915 ватсап осы,Уральск Квартира  Орал КВАРТИРА Аренда
64,2024-09-02T21:00:08,2 Орал қаласы бойынша 1 официанттарға арналған группа Официант кассир раздача керек,Уральск Квартира  Орал КВАРТИРА Аренда
65,2024-09-02T17:33:34,Нужна квартира на длительный срокПодселение Мекенжай центр саяхат толстой зигзаг школьник революция юбиляр евразия универмаг Бөлме саны 1 Срок ұзақ мерзімге Баға 4000080000 Условия жақсы интернет тамақ жасайтын плита стиральный машина полноценный шкаф тб Квартираға кіру уақыты қыркүйек айы 7 7075680021,Уральск Квартира  Орал КВАРТИРА Аренда
66,2024-09-02T16:23:02,Квартирага бирге туруга 2 кыз издеймин АдресНалоговыйобластной касы Болме 3 Бага45мыннан коммуслуга ишинде Условиястиралкаваннабари бар Киру уакыты23кун ишинде 87073434618,Уральск Квартира  Орал КВАРТИРА Аренда
67,2024-09-02T12:48:42,Сдам 2х комнату квартиру в районе Сокол на длительный срок студентам девушкам номер телефона 87075582412,Уральск Квартира  Орал КВАРТИРА Аренда
68,2024-09-01T20:13:53,1 2 бөлмелі квартира керек ұзақ мерзімге Жалғыз ер баламын Жұмысымның қасынан зачаганск айналасынан Желательно Мөңкеұлы Жазира Бірліктен болса Бағасына 100 120 мың айналасында болса Үйдің жағдайына байланысты тағыда келісуге болады 87751670581,Уральск Квартира  Орал КВАРТИРА Аренда
69,2024-09-01T20:08:09,Квартира га бірге тұруға 1718 жастағы қыздар керек Мекенжай центр универмаг Бөлме саны1 Срок ұзақ мерзімге Баға25000 Условия евро ремонт шкафстиральный машина телевизор Квартирага кіру уақыты сентябрь айы 87773869031,Уральск Квартира  Орал КВАРТИРА Аренда
70,2024-09-01T20:06:12,Пединститут районынан 2 бөлмелі кварқыздар жіберіледі Айына 30000 комусл 87085120372,Уральск Квартира  Орал КВАРТИРА Аренда
71,2024-08-31T01:04:16,Нужна квартира на длительный срок Бізге 1 бөлмелі жағдайы бар стиралкадуш или ваннаквартира керек 3 бауырмыз2 кыз1 ұл баластудентпізЮбилярСаяхатКазахтелекомфилармонияпединститутбазар бола бередіі Бәріміз жұмыс жасаймызұқыптымыз 87713199912 ватсап телеграм,Уральск Квартира  Орал КВАРТИРА Аренда
72,2024-08-30T20:26:24,Нужна квартира на длительный срок или Подселение Мекенжай центр саяхат толстой зигзаг школьник евразиязачаганскмонкеулы Бөлме саны 1 Срок ұзақ мерзімге Баға 90000120000подселениемен болса 2030000 Условия жақсы интернет стиральный машина полноценный шкаф тб Квартираға кіру уақытысентябрь 77476073162,Уральск Квартира  Орал КВАРТИРА Аренда
