channel_name,address,город,район,coodsX,coodY
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Улица Утеген батыра 17Б к4 Гранд Парк жанында,Алматы,Алмалинский район,76.919196,43.249633
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК,Алматы,Бостандыкский район,76.89648,43.235012
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жас қанат Пк Кунаева 33610,Алматы,Турксибский район,76.979549,43.322616
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Гагарина,Алматы,Бостандыкский район,76.898774,43.200762
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Карасай батыраМуратбаева,Алматы,Ауэзовский район,76.857037,43.24096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Ауэзовский район ближе к пересечению улиц Абая и Саина Жетысу3 дом 16,Алматы,Ауэзовский район,76.84436,43.221007
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Таугуль 149,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Коктем2 КазНУга напротив,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),"Көктерек 139, наурызбайский район",Алматы,Наурызбайский район,76.792559,43.213706
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Акбулак 7,Алматы,Алатауский район,76.817017,43.242998
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Крамского 14,Алматы,Турксибский район,76.938569,43.296771
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК пр Райымбека Емцова Кв 150150300,Алматы,Бостандыкский район,76.898774,43.200762
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ТОЛЕБИМОМЫШУЛЫ,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бухар жырау между КАЗНУ и ПОЛИТЕХОМ,Алматы,Бостандыкский район,76.92415,43.234179
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Мкр ШУГЫЛА 3403,Алматы,Наурызбайский район,76.787991,43.213963
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖамбылаБайзакова,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аксай12,Алматы,Алатауский район,76.843706,43.267208
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),пересечение улиц Толеби и Жарокова,Алматы,Алмалинский район,76.897796,43.251509
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Орбита1 возле МегиРозыбакиева,Алматы,Бостандыкский район,76.879002,43.198565
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК Квартира евродвушка Рядом ТРЦ АДК станция Сайран в 5 минутах АбаяБрусиловского,Алматы,Бостандыкский район,76.875735,43.229781
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),мкр Тастак,Алматы,Алмалинский район,76.875313,43.250354
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алатауыски наурызбайски районнан,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Шаляпинаберегового,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ТимирязеваРозыбакиева,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Төлеби Момышұлы,Алматы,Ауэзовский район,76.830417,43.239151
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алматы,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК НУРИЯ,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Арбата,Алматы,Алмалинский район,76.936417,43.261205
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК Медеу Парк,Алматы,Медеуский район,76.964553,43.255834
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Клочкова 166 тимирязева ауэзова,Алматы,Бостандыкский район,76.903833,43.229523
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК Жетису парк на Есенова Баянауыльская,Алматы,Жетысуский район,76.949901,43.287657
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Квартира офис Байзак жақта Муит университетына 5 минут жерде,Алматы,Наурызбайский район,76.775207,43.213039
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жк 17 этаж,Алматы,Ауэзовский район,76.881524,43.217163
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алматы,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК Манхэттан Теракотта Симфония Алтынбулак Онер Гаухартас,Алматы,Бостандыкский район,76.898774,43.200762
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский район Толе би Байзакова,Алматы,Алмалинский район,76.910152,43.252382
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аносова 45,Алматы,Алмалинский район,76.883559,43.25353
